species,filename,duration,sample_rate,archive,split,path
ANPA,ANPA-103486.wav,7.004,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-103486.wav
ANPA,ANPA-12631852.wav,4.998976,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-12631852.wav
ANPA,ANPA-12631925.wav,4.998976,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-12631925.wav
ANPA,ANPA-12632107.wav,4.998976,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-12632107.wav
ANPA,ANPA-12632740.wav,4.998976,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-12632740.wav
ANPA,ANPA-1324483.wav,4.999022,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1324483.wav
ANPA,ANPA-1324492.wav,4.999022,500000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1324492.wav
ANPA,ANPA-1324765.wav,15.0,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1324765.wav
ANPA,ANPA-1325221.wav,15.0,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1325221.wav
ANPA,ANPA-1325226.wav,11.624,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1325226.wav
ANPA,ANPA-1325327.wav,8.158,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1325327.wav
ANPA,ANPA-1325391.wav,9.454,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1325391.wav
ANPA,ANPA-1325641.wav,7.496,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1325641.wav
ANPA,ANPA-1333717.wav,12.264,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1333717.wav
ANPA,ANPA-1333953.wav,3.274,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1333953.wav
ANPA,ANPA-1336465.wav,15.0,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1336465.wav
ANPA,ANPA-1346881.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1346881.wav
ANPA,ANPA-1379672.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1379672.wav
ANPA,ANPA-1397625.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1397625.wav
ANPA,ANPA-1452204.wav,7.852,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1452204.wav
ANPA,ANPA-1504353.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1504353.wav
ANPA,ANPA-1505268.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1505268.wav
ANPA,ANPA-1513109.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1513109.wav
ANPA,ANPA-1516727.wav,4.99837,300000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1516727.wav
ANPA,ANPA-1537970.wav,12.66,256000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-1537970.wav
ANPA,ANPA-2074680.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2074680.wav
ANPA,ANPA-2095828.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2095828.wav
ANPA,ANPA-2150941.wav,3.0946666666666665,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2150941.wav
ANPA,ANPA-2151231.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2151231.wav
ANPA,ANPA-2151488.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2151488.wav
ANPA,ANPA-2151640.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2151640.wav
ANPA,ANPA-2152945.wav,6.0,384000,ANPA.zip,train,/Users/katterns/ITMO/Practice/data/ANPA/ANPA-2152945.wav
